layer_idx,layer_magnitude,token_rank,token,steering_score,antipodal_score,score_ratio,normalized_score
-1,0.31622767,1,OMIT,0.015465396,0.015465396,0.99999934,0.04890589
-1,0.31622767,2,RACT,0.015443362,0.015443362,0.99999934,0.048836213
-1,0.31622767,3,اگ,0.0141606005,0.0141606005,0.9999993,0.044779763
-1,0.31622767,4,EURO,0.013981805,0.013981805,0.9999993,0.044214364
-1,0.31622767,5,роп,0.013612677,0.013612677,0.9999992,0.043047078
-1,0.31622767,6,extr,0.0134891365,0.0134891365,0.9999992,0.042656407
-1,0.31622767,7,sells,0.0133874845,0.0133874845,0.9999992,0.042334955
-1,0.31622767,8,_GREEN,0.012802746,0.012802746,0.9999992,0.04048585
-1,0.31622767,9,μέσα,0.012799859,0.012799859,0.9999992,0.04047672
-1,0.31622767,10,teg,0.012685237,0.012685237,0.99999917,0.040114254
-1,0.31622767,11,جم,0.012681499,0.012681499,0.99999917,0.040102433
-1,0.31622767,12,traumat,0.012478849,0.012478849,0.99999917,0.039461598
-1,0.31622767,13,brig,0.012473558,0.012473558,0.99999917,0.039444864
-1,0.31622767,14,babys,0.0124020465,0.0124020465,0.99999917,0.039218727
-1,0.31622767,15,Eq,0.012318114,0.012318114,0.99999917,0.038953308
-1,0.31622767,16,elo,0.012233635,0.012233635,0.99999917,0.038686164
-1,0.31622767,17,Grandma,0.012139596,0.012139596,0.99999917,0.038388785
-1,0.31622767,18,")"")",0.012132231,0.012132231,0.99999917,0.038365494
-1,0.31622767,19,fe,0.01209032,0.01209032,0.99999917,0.03823296
-1,0.31622767,20,upo,0.012068067,0.012068067,0.99999917,0.03816259
-1,0.31622767,21,seud,0.012020693,0.012020693,0.99999917,0.03801278
-1,0.31622767,22,Ezek,0.012009941,0.012009941,0.99999917,0.03797878
-1,0.31622767,23,posled,0.011963189,0.011963189,0.99999917,0.037830934
-1,0.31622767,24,spontaneous,0.011947584,0.011947584,0.99999917,0.03778159
-1,0.31622767,25,Ent,0.011922319,0.011922319,0.99999917,0.037701696
-1,0.31622767,26,lda,0.011919515,0.011919515,0.99999917,0.037692826
-1,0.31622767,27,Pregn,0.0118858535,0.0118858535,0.99999917,0.03758638
-1,0.31622767,28,ostream,0.01184866,0.01184866,0.9999991,0.037468765
-1,0.31622767,29,boss,0.011797714,0.011797714,0.9999991,0.037307657
-1,0.31622767,30,occ,0.011784731,0.011784731,0.9999991,0.037266605
-1,0.31622767,31,odega,0.011773267,0.011773267,0.9999991,0.03723035
-1,0.31622767,32,incible,0.011718154,0.011718154,0.9999991,0.037056066
-1,0.31622767,33,ropriate,0.011697553,0.011697553,0.9999991,0.036990922
-1,0.31622767,34,lements,0.011677979,0.011677979,0.9999991,0.036929023
-1,0.31622767,35,треть,0.011662342,0.011662342,0.9999991,0.036879573
-1,0.31622767,36,_disable,0.011655489,0.011655489,0.9999991,0.036857903
-1,0.31622767,37,贸,0.011651518,0.011651518,0.9999991,0.036845345
-1,0.31622767,38,edia,0.01162672,0.01162672,0.9999991,0.036766928
-1,0.31622767,39,Shield,0.011608193,0.011608193,0.9999991,0.03670834
-1,0.31622767,40,.checkbox,0.011563292,0.011563292,0.9999991,0.03656635
-1,0.31622767,41,кул,0.011560772,0.011560772,0.9999991,0.036558382
-1,0.31622767,42,avi,0.011502949,0.011502949,0.9999991,0.036375526
-1,0.31622767,43,Zus,0.011499707,0.011499707,0.9999991,0.036365274
-1,0.31622767,44,ult,0.01144989,0.01144989,0.9999991,0.036207743
-1,0.31622767,45,pioneering,0.01143904,0.01143904,0.9999991,0.036173433
-1,0.31622767,46,utterstock,0.011412951,0.011412951,0.9999991,0.036090933
-1,0.31622767,47,yre,0.011410303,0.011410303,0.9999991,0.03608256
-1,0.31622767,48,optimized,0.011381866,0.011381866,0.9999991,0.035992634
-1,0.31622767,49,mv,0.0113719795,0.0113719795,0.9999991,0.035961367
-1,0.31622767,50,поз,0.011330228,0.011330228,0.9999991,0.03582934
-2,0.3162276,1,cere,0.015247832,0.015247832,0.99999934,0.0482179
-2,0.3162276,2,reel,0.015194092,0.015194092,0.99999934,0.04804796
-2,0.3162276,3,موقع,0.014850342,0.014850342,0.9999993,0.046960928
-2,0.3162276,4,Minus,0.013885485,0.013885485,0.9999993,0.04390978
-2,0.3162276,5,Combination,0.013771988,0.013771988,0.9999993,0.04355087
-2,0.3162276,6,diaper,0.013685765,0.013685765,0.9999992,0.04327821
-2,0.3162276,7,兽,0.013558021,0.013558021,0.9999992,0.042874247
-2,0.3162276,8,Cort,0.0133690955,0.0133690955,0.9999992,0.04227681
-2,0.3162276,9,irtschaft,0.013215295,0.013215295,0.9999992,0.04179045
-2,0.3162276,10,.matmul,0.012831221,0.012831221,0.9999992,0.040575903
