token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-3_score,layer_-3_rank,layer_-4_score,layer_-4_rank,layer_-5_score,layer_-5_rank,layer_-6_score,layer_-6_rank,layer_-9_score,layer_-9_rank,layer_-10_score,layer_-10_rank,layer_-11_score,layer_-11_rank,layer_-8_score,layer_-8_rank,layer_-15_score,layer_-15_rank,layer_-16_score,layer_-16_rank,layer_-22_score,layer_-22_rank,layer_-23_score,layer_-23_rank,layer_-17_score,layer_-17_rank,layer_-24_score,layer_-24_rank,layer_-25_score,layer_-25_rank,layer_-26_score,layer_-26_rank,layer_-27_score,layer_-27_rank,layer_-28_score,layer_-28_rank,layer_-29_score,layer_-29_rank,layer_-14_score,layer_-14_rank,layer_-7_score,layer_-7_rank,layer_-12_score,layer_-12_rank,layer_-31_score,layer_-31_rank,layer_-19_score,layer_-19_rank,layer_-20_score,layer_-20_rank,layer_-21_score,layer_-21_rank,layer_-13_score,layer_-13_rank
Recruitment,0.7106512784957886,1.2,0.0018607972,1.0,4,unknown_concept,0.013819528743624687,5.0,0.014357256703078747,4.0,0.01613183692097664,1.0,0.013376093469560146,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geared,0.7104898691177368,1.2,0.00139968,1.0,3,unknown_concept,,,,,,,,,0.014303665608167648,6.0,0.015842776745557785,3.0,0.013243637979030609,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.7104475498199463,1.2,0.0012787352,1.0,3,unknown_concept,,,,,0.013551848940551281,13.0,0.013699013739824295,6.0,,,,,,,0.012389931827783585,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,0.710363507270813,1.2,0.0010386503,1.0,2,unknown_concept,0.016046255826950073,1.0,0.016151906922459602,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourier,0.7103414535522461,1.2,0.0009754148,1.0,2,unknown_concept,,,,,,,,,0.01369132474064827,11.0,0.01654653623700142,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel,0.710341215133667,1.2,0.00097486156,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.015019121579825878,5.0,0.015201587229967117,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatures,0.710340142250061,1.2,0.00097182835,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,0.014468886889517307,3.0,0.01565779373049736,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,0.7103397846221924,1.2,0.0009708004,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.014993489719927311,6.0,0.015101323835551739,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
administrations,0.7103337049484253,1.2,0.00095335057,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.01448582299053669,11.0,,,,,,,0.015068045817315578,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheiden,0.7103251218795776,1.2,0.0009287112,1.0,2,unknown_concept,,,,,0.013879554346203804,8.0,0.014910493046045303,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pneum,0.7103241682052612,1.2,0.0009260171,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.014342851005494595,16.0,,,,,0.01436368003487587,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_short,0.7103217840194702,1.2,0.00091937324,1.0,2,unknown_concept,,,,,,,,,0.015046408399939537,4.0,,,0.013454164378345013,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crews,0.7103153467178345,1.2,0.00090082444,1.0,2,unknown_concept,,,,,,,,,0.013932662084698677,8.0,0.013992897234857082,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_VALUE,0.7103142738342285,1.2,0.00089800305,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01454593800008297,3.0,0.013292157091200352,5.0,,,,,,,,,,,,,,,,,,,,,,,,
beck,0.7103124856948853,1.2,0.00089289935,1.0,2,unknown_concept,,,,,0.014218159019947052,5.0,0.013461722061038017,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppBar,0.7103097438812256,1.2,0.0008850345,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014361001551151276,6.0,0.013075068593025208,11.0,,,,,,,,,,,,,,,,,,,,
catastrophic,0.7103036642074585,1.2,0.00086749915,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012983908876776695,4.0,0.013908565044403076,6.0,,,,,,,,,,,,,,,,
Sadly,0.7101690769195557,1.2,0.00048318077,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014978604391217232,2.0,,,,,,,,,,,,,,,,
algae,0.7063899693535823,1.2,0.0008900845,0.9803921568627452,2,unknown_concept,,,,,,,,,,,,,,,,,0.014238633215427399,18.0,,,,,,,,,,,,,,,,,,,,,0.013353986665606499,14.0,,,,,,,,,,,,,,
compartments,0.7063666341351528,1.2,0.0008234093,0.9803921568627452,2,unknown_concept,0.013139101676642895,14.0,0.012386586517095566,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phot,0.7062080261754055,1.2,0.00037026333,0.9803921568627451,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011478163301944733,50.0,,,,,,,,,,,,,,,,,,,,,,,,
hesitate,0.7035287324357148,1.2,0.00083426986,0.9661835748792269,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013002542778849602,14.0,0.012859824113547802,7.0,,,,,,,,,,
editar,0.7025954182331379,1.2,0.0008220758,0.9615384615384616,2,unknown_concept,,,,,,,,,,,0.01310029998421669,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012384051457047462,26.0,,,,,,,,
dividend,0.6929193192421029,1.2,0.0007739951,0.91324200913242,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012660268694162369,35.0,,,0.011333581060171127,36.0,,,,,,,,,,,,,,,,,,
rubbish,0.6913088608381436,1.2,0.0008953084,0.904977375565611,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012264764867722988,13.0,0.015489794313907623,2.0,,,,
osals,0.6805013263479193,1.2,0.0008244511,0.851063829787234,2,unknown_concept,,,,,0.012897997163236141,21.0,0.01265998836606741,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald,0.6769865194956463,1.2,0.00091382075,0.8333333333333335,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013424060307443142,15.0,0.014904383569955826,7.0,,
stag,0.6769683102766673,1.2,0.0008617965,0.8333333333333333,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014346866868436337,4.0,0.012368825264275074,14.0,,,,,,,,,,,,,,,,,,,,,,,,
shaken,0.664725108749618,1.2,0.0008140926,0.7722007722007721,2,unknown_concept,,,,,,,,,,,,,0.012795323505997658,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012441547587513924,15.0
.ToString,0.6573469368850484,1.2,0.00082312606,0.7352941176470589,2,unknown_concept,0.013154405169188976,13.0,0.012362504377961159,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
