token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-19_score,layer_-19_rank,layer_-20_score,layer_-20_rank,layer_-21_score,layer_-21_rank,layer_-22_score,layer_-22_rank,layer_-9_score,layer_-9_rank,layer_-13_score,layer_-13_rank,layer_-14_score,layer_-14_rank,layer_-17_score,layer_-17_rank,layer_-18_score,layer_-18_rank,layer_-23_score,layer_-23_rank,layer_-8_score,layer_-8_rank,layer_-10_score,layer_-10_rank,layer_-15_score,layer_-15_rank,layer_-11_score,layer_-11_rank,layer_-12_score,layer_-12_rank,layer_-16_score,layer_-16_rank,layer_-7_score,layer_-7_rank
Plusieurs,1.3430840118192422,1.2,2.3571675,0.040376833807820145,4,unknown_concept,7.960686206817627,85.0,11.99224853515625,5.0,16.769454956054688,26.0,17.492462158203125,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,
settings,1.3278987407684326,1.2,1.765425,1.0,4,unknown_concept,9.64626693725586,17.0,,,,,,,10.164912223815918,1.0,9.226920127868652,2.0,11.566673278808594,1.0,,,,,,,,,,,,,,,,,,,,
կանգ,1.3138041638212654,0.84,2.5486944,0.09880597535632782,5,unknown_concept,8.738224029541016,47.0,11.015844345092773,9.0,,,20.079429626464844,7.0,,,,,,,7.52225399017334,48.0,11.264222145080566,3.0,,,,,,,,,,,,,,,,
diesmal,1.2662005752289622,1.2,2.056479,0.18216435609476286,3,unknown_concept,,,,,,,19.595714569091797,10.0,,,,,,,7.7137274742126465,37.0,,,19.989574432373047,11.0,,,,,,,,,,,,,,
accordingly,1.251501747342182,1.2,2.061121,0.10054729567087067,6,unknown_concept,,,,,,,,,8.755035400390625,2.0,12.168094635009766,1.0,10.188151359558105,2.0,,,,,,,4.313099384307861,7.0,4.679841041564941,80.0,7.301562309265137,2.0,,,,,,,,
joue,1.243501514914323,1.2,1.7755905,0.5602240896358543,2,unknown_concept,,,,,,,18.583202362060547,17.0,,,,,,,,,,,22.25537872314453,2.0,,,,,,,,,,,,,,
能买吗,1.2363607152616287,0.7,2.4133918,0.1583678644474874,9,unknown_concept,,,,,,,,,5.406572341918945,9.0,7.535242080688477,4.0,5.042049884796143,69.0,,,,,,,4.573195457458496,6.0,6.684500694274902,1.0,6.54502010345459,6.0,5.811146259307861,3.0,7.191167831420898,2.0,6.7191162109375,23.0,,
meestal,1.209292041005875,1.2,2.403551,0.040245586346513214,5,unknown_concept,8.478218078613281,61.0,8.846012115478516,95.0,,,16.420949935913086,81.0,,,,,4.71516227722168,99.0,,,,,16.821334838867188,89.0,,,,,,,,,,,,,,
летом,1.1909976785833185,0.84,1.7347987,0.9090909090909092,2,unknown_concept,,,,,,,20.105777740478516,6.0,,,,,,,,,,,19.79458999633789,14.0,,,,,,,,,,,,,,
<std,1.1816886043698953,1.0,2.0696952,0.03647642143138602,4,unknown_concept,,,10.219805717468262,24.0,20.686405181884766,1.0,,,,,,,,,6.967767715454102,97.0,9.729009628295898,20.0,,,,,,,,,,,,,,,,
танд,1.1453000750422195,0.84,2.1042867,0.03399859184012575,8,unknown_concept,,,,,,,,,4.104046821594238,71.0,,,,,7.587035179138184,44.0,8.555730819702148,93.0,,,,,5.03580379486084,38.0,6.335467338562012,11.0,4.7078166007995605,76.0,5.523576736450195,69.0,6.549115180969238,30.0,,
скорее,1.1423190349504346,0.84,2.0573163,0.10129177280515209,4,unknown_concept,9.612462997436523,18.0,12.017759323120117,4.0,,,20.528656005859375,4.0,,,,,,,,,,,,,,,,,5.159396171569824,57.0,,,,,,,,
endeels,1.1313223573682702,1.2,1.6033616,0.30072902297874105,3,unknown_concept,,,,,19.07889175415039,3.0,,,,,,,,,7.838473320007324,27.0,9.959952354431152,13.0,,,,,,,,,,,,,,,,
상당,1.1306332349777222,0.21,2.0503807,1.0,2,unknown_concept,,,,,,,21.558040618896484,2.0,,,,,,,,,,,25.60071563720703,1.0,,,,,,,,,,,,,,
liegt,1.1200044990090567,1.2,1.6943693,0.08487612034283014,5,unknown_concept,,,,,,,,,,,5.508960723876953,76.0,6.085851669311523,13.0,9.68425178527832,2.0,,,,,,,,,7.810087203979492,1.0,,,,,9.881348609924316,1.0,,
meist,1.1088774028031723,1.2,1.6722584,0.06793478260869565,2,unknown_concept,,,,,,,17.185348510742188,53.0,,,,,,,,,,,21.276592254638672,9.0,,,,,,,,,,,,,,
wenden,1.1069675358561126,1.2,1.6723384,0.058245376958175776,5,unknown_concept,10.655281066894531,7.0,10.264619827270508,23.0,,,,,,,,,5.0420823097229,68.0,,,,,,,,,,,5.2011637687683105,55.0,,,,,7.300638198852539,10.0,,
trium,1.0911090271813528,1.2,1.596536,0.11160714285714285,2,unknown_concept,,,,,,,17.41815948486328,44.0,,,,,,,,,,,19.302169799804688,18.0,,,,,,,,,,,,,,
मामले,1.0796348486855203,0.7,2.038193,0.03133674190172219,7,unknown_concept,9.910106658935547,14.0,8.900270462036133,89.0,,,,,3.9997611045837402,84.0,6.305266380310059,22.0,5.167431831359863,55.0,7.619546413421631,42.0,,,,,,,,,4.976062774658203,76.0,,,,,,,,
Disaster,1.0755474609861737,1.2,1.5585436,0.1002859089424049,7,unknown_concept,,,,,,,,,4.436184406280518,36.0,5.896243095397949,43.0,5.610940933227539,31.0,,,,,,,3.9766736030578613,25.0,,,5.808513164520264,26.0,,,,,6.025481224060059,60.0,4.092466831207275,16.0
преиму,1.0686102538352449,0.84,1.8742456,0.05312164080403268,3,unknown_concept,,,9.401459693908691,53.0,16.9111328125,20.0,16.795059204101562,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Slight,1.0564882838464882,1.2,1.5501676,0.019648295510364476,2,unknown_concept,,,,,,,19.0367488861084,15.0,,,,,,,,,,,16.617103576660156,100.0,,,,,,,,,,,,,,
allein,1.0549921878543749,1.2,1.5404689,0.02914023814959069,5,unknown_concept,,,,,,,,,,,,,4.715599536895752,97.0,8.695222854614258,7.0,8.675210952758789,81.0,,,,,,,6.108925819396973,17.0,,,,,7.235825061798096,11.0,,
ezie,1.052871584892273,1.2,0.9796331,1.0,2,unknown_concept,11.769948959350586,2.0,10.761611938476562,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinners,1.0353535156311893,1.2,1.4341745,0.1169622445415971,6,unknown_concept,,,,,,,,,4.967657566070557,18.0,6.523107528686523,17.0,5.969204902648926,15.0,,,,,,,,,5.0819411277771,35.0,5.553103446960449,41.0,4.8910017013549805,49.0,,,,,,
Jahr,1.033724988089085,1.2,1.4684485,0.04884004884004883,2,unknown_concept,,,,,15.279891967773438,70.0,,,,,,,,,,,,,18.49442481994629,33.0,,,,,,,,,,,,,,
cite,1.0231112241744995,1.2,0.8946034,1.0,3,unknown_concept,,,,,,,,,6.917071342468262,3.0,6.716336250305176,13.0,6.942471504211426,8.0,,,,,,,,,,,,,,,,,,,,
Naciones,1.021516702332369,1.2,1.4446176,0.029502499889689393,4,unknown_concept,7.783236503601074,100.0,8.946399688720703,84.0,,,,,,,,,,,7.372434139251709,57.0,9.124134063720703,42.0,,,,,,,,,,,,,,,,
డంతో,1.0142969978486318,0.7,1.8499513,0.03407043846190977,4,unknown_concept,,,9.976855278015137,34.0,,,16.445159912109375,79.0,,,,,,,7.0431365966796875,88.0,9.08372688293457,46.0,,,,,,,,,,,,,,,,
since,1.0112875699996948,1.2,0.8608216,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,19.79889678955078,13.0,,,,,,,,,,,,,,
