token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-17_score,layer_-17_rank,layer_-18_score,layer_-18_rank,layer_-19_score,layer_-19_rank,layer_-15_score,layer_-15_rank,layer_-16_score,layer_-16_rank,layer_-20_score,layer_-20_rank,layer_-21_score,layer_-21_rank,layer_-1_score,layer_-1_rank,layer_-2_score,layer_-2_rank,layer_-3_score,layer_-3_rank,layer_-4_score,layer_-4_rank,layer_-13_score,layer_-13_rank,layer_-14_score,layer_-14_rank,layer_-7_score,layer_-7_rank,layer_-8_score,layer_-8_rank,layer_-24_score,layer_-24_rank,layer_-22_score,layer_-22_rank,layer_-23_score,layer_-23_rank,layer_-25_score,layer_-25_rank,layer_-5_score,layer_-5_rank,layer_-27_score,layer_-27_rank,layer_-28_score,layer_-28_rank,layer_-12_score,layer_-12_rank
Keto,0.7116426229476929,1.2,0.004693119,1.0,3,unknown_concept,0.041963186115026474,6.0,0.05015098676085472,4.0,0.05337250605225563,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster,0.7110068798065186,1.2,0.0028766461,1.0,2,unknown_concept,,,,,,,0.0424063578248024,7.0,0.046769674867391586,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andres,0.7109982967376709,1.2,0.0028523311,1.0,2,unknown_concept,,,,,,,,,,,0.044821836054325104,5.0,0.04360043257474899,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aupt,0.7109695672988892,1.2,0.0027702567,1.0,2,unknown_concept,,,,,,,,,,,,,,,0.04473211616277695,6.0,0.041145846247673035,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essential,0.7109438180923462,1.2,0.002696674,1.0,2,unknown_concept,,,,,,,,,,,0.04222416877746582,16.0,0.04137272760272026,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createContext,0.710930347442627,1.2,0.0026580598,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,0.04211065545678139,4.0,0.04028920829296112,9.0,,,,,,,,,,,,,,,,,,,,,,,,
downloadable,0.7108924388885498,1.2,0.002549715,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,0.03943078964948654,11.0,0.039610378444194794,10.0,,,,,,,,,,,,,,,,,,,,,,,,
IGNED,0.7108733654022217,1.2,0.0024953417,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,0.03774450346827507,33.0,0.0396110936999321,33.0,,,,,,,,,,,,,,,,,,,,
Challenge,0.710808515548706,1.2,0.002309927,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035033419728279114,42.0,0.03657432273030281,42.0,,,,,,,,,,,,,,,,
Phot,0.7104742527008057,1.2,0.001354996,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,0.04200487583875656,17.0,,,,,,,,,,,,,,,,,,,,
