token,effectiveness_score,quality_score,consistency_score,specificity_score,layer_count,concept,layer_-18_score,layer_-18_rank,layer_-19_score,layer_-19_rank,layer_-20_score,layer_-20_rank,layer_-22_score,layer_-22_rank,layer_-3_score,layer_-3_rank,layer_-4_score,layer_-4_rank,layer_-6_score,layer_-6_rank,layer_-7_score,layer_-7_rank,layer_-2_score,layer_-2_rank,layer_-5_score,layer_-5_rank,layer_-13_score,layer_-13_rank,layer_-14_score,layer_-14_rank,layer_-30_score,layer_-30_rank,layer_-26_score,layer_-26_rank,layer_-8_score,layer_-8_rank,layer_-9_score,layer_-9_rank,layer_-10_score,layer_-10_rank,layer_-12_score,layer_-12_rank,layer_-11_score,layer_-11_rank,layer_-17_score,layer_-17_rank,layer_-21_score,layer_-21_rank,layer_-23_score,layer_-23_rank,layer_-27_score,layer_-27_rank,layer_-28_score,layer_-28_rank,layer_-16_score,layer_-16_rank,layer_-29_score,layer_-29_rank
.setBackgroundResource,0.710330605506897,1.2,0.00094439945,1.0,2,unknown_concept,0.015034914016723633,1.0,0.014241470023989677,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockefeller,0.7103254795074463,1.2,0.0009300446,1.0,2,unknown_concept,,,,,0.012653595767915249,10.0,0.016177790239453316,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pricey,0.7102965116500854,1.2,0.00084695494,1.0,2,unknown_concept,,,,,,,,,0.012865692377090454,4.0,0.013389910571277142,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowden,0.710271954536438,1.2,0.00077688607,1.0,2,unknown_concept,,,,,,,,,,,,,0.011593765579164028,13.0,0.01248970441520214,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ureen,0.7102423906326294,1.2,0.0006925203,1.0,2,unknown_concept,,,,,,,,,,,,,0.01069714780896902,34.0,0.010770980268716812,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT,0.7101284265518188,1.2,0.00036684543,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,0.011372208595275879,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo,0.7063346860455532,1.2,0.0007321442,0.9803921568627452,2,unknown_concept,,,,,,,,,0.011509574949741364,18.0,,,,,,,,,0.01118689589202404,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby,0.6769444088141124,1.2,0.0007934734,0.8333333333333334,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,0.012633508071303368,11.0,0.011964168399572372,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ama,0.6503105163574219,1.0,0.0008871547,1.0,2,unknown_concept,,,,,,,,,,,0.014696894213557243,1.0,,,,,0.012804903090000153,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.PL,0.6502547264099121,1.0,0.0007276289,1.0,2,unknown_concept,,,,,,,,,,,,,0.01119358092546463,19.0,0.011362915858626366,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gre,0.6501355171203613,1.0,0.00038727303,1.0,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,0.012005464173853397,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OSC,0.6461978910016078,1.0,0.00034127064,0.9803921568627451,2,unknown_concept,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010579390451312065,50.0,,,,,,,,,,,,,,,,,,,,,,,,
